Name,Tag,Area,Address,Category,Price,Timings
Takumi Japanese Restaurant,CASUAL DINING,Point Grey,"4422 West 10th Avenue, Vancouver V6R 3Z7","Sushi, Japanese, Asian",10,NO
Jako Japanese Restaurant,CASUAL DINING,Downtown,"656 Davie Street, Vancouver V6B5B6","Sushi, Japanese, Asian",101010,YES
Lions Pub,CASUAL DINING,Downtown,"888 West Cordova Street, Vancouver V6C3N8","Bar Food, British",10,YES
The Henry Public House,BAR,Cloverdale,"5708 176th Street, Surrey V3S 4E3",Bar Food,1010,YES
Finest at Sea,QUICK BITES,Arbutus Ridge,"4675 Arbutus Street, Vancouver V6M4M6","Seafood, Deli",10,YES
R&H Chinese Food,FOOD COURT,"Lansdowne Centre, Richmond","5300 Number 3 Road, Richmond V6X 2X9","Fast Food, Shanghai, Chinese, Asian",101010,NO
Arturo's Mexico To Go,FOOD TRUCK,Downtown,"Location Varies, Vancouver V6C 3L5","Fast Food, Mexican",10101010,NO
New Novelty Restaurant & Sweets,QUICK BITES,Punjabi Market,"6669 Fraser Street, Vancouver V5X3T6","Indian, Desserts",10,NO
Umeda Japanese Cuisine,CASUAL DINING,Downtown,"1157 Granville Street, Vancouver V6Z 1L8","Japanese, Asian",10,NO
Ninja Bubble Tea,CAF�,Coquitlam,"2972 Glen Drive, Coquitlam V3B 2P7","Cafe, Bubble Tea, Desserts",101010,NO
Coco Et Olive,CAF�,Riley Park & Little Mountain,"3707 Main Street, Vancouver V5V3N7",Cafe,101010,YES
Al-Watan Tandoori,CASUAL DINING,Punjabi Market,"6084 Fraser Street, Vancouver V5W 2Z7","Indian, Pakistani",10,YES
Q Q Sushi,QUICK BITES,Fairview,"1640 West Broadway, Vancouver V6J","Sushi, Japanese",1010,YES
A Bread Affair,BAKERY,Granville Island,"Triangle Square, 1680 Johnston Street, Vancouver V6H3R9","Bakery, Cafe",10101010,NO
Paul's Sub Shop,QUICK BITES,South Burnaby,"4608 Imperial Street, Burnaby V5J1B9","Diner, Sandwich",10,YES
Molli Cafe,CASUAL DINING,West End,"1225 Burrard Street, Vancouver V6Z1Z5",Mexican,101010,YES
Speakeasy,CASUAL DINING,Fairview,"901 West Broadway, Vancouver V5Z1K3",Bar Food,1010,NO
Village Sushi,CASUAL DINING,"Hillcrest Village, Cloverdale","Hillcrest Village, 312-18690 Fraser Highway, Surrey V3S7Y4","Sushi, Japanese, Asian",101010,NO
Andrew's on Eighth,CAF�,Central Lonsdale,"279 East 8th Street, North Vancouver V7L1Y9",Cafe,101010,YES
Hungry Guys Kitchen,QUICK BITES,Downtown,"988 Granville Street, Vancouver V6Z 1L2",Healthy Food,1010,YES
Twinkle Cube Cafe,CASUAL DINING,"Central Plaza, Richmond","Central Plaza, 4231 Hazelbridge Way, Richmond","Asian, Desserts",10,NO
Ashoka Indian Cuisine,CASUAL DINING,City of Langley,"20530 Fraser Highway, Langley V3A4G2",Indian,1010,YES
Royal Tandoori Indian,CASUAL DINING,New Westminster,"83 6th Street, Metro Vancouver V3L2Z8",Indian,10,YES
The Hide Out Cafe,CAF�,New Westminster,"716 Carnarvon Street, Metro Vancouver V3M 1E6",Cafe,1010,NO
Toko,CASUAL DINING,Mount Pleasant,"223 West 7th Avenue, Vancouver V5Y 1L9","Sushi, Japanese",101010,YES
Mak N Ming,CASUAL DINING,Kitsilano,"1629 Yew Street, Vancouver, Vancouver V6K 3E6","Japanese, Asian Fusion",10,NO
Chan's Garden,CASUAL DINING,New Westminster,"441 East Columbia Street, Metro Vancouver V3L3X4","Chinese, Asian",1010,YES
Sushi Dragon,CASUAL DINING,Fairview,"614 West Broadway, Vancouver V5Z 1G1","Sushi, Japanese, Asian",101010,YES
Cat & Fiddle Pub,BAR,Port Coquitlam,"1979 Brown Street, Metro Vancouver V3C 2N4",Bar Food,101010,NO
Billy Miner Ale House,BAR,Maple Ridge,"22355 River Road, Metro Vancouver",Bar Food,1010,NO
Blue Bella Pocha Korean Bar,CASUAL DINING,West End,"1500 Robson Street, Vancouver V6G1C2","Korean, Asian",1010,YES
Chronic Tacos,QUICK BITES,"Columbia Square Plaza, New Westminster","Columbia Square Plaza, 110-66 10th Street, Metro Vancouver V3M 1C4",Mexican,10101010,YES
Two Parrots Perch & Grill,CASUAL DINING,Downtown,"1202 Granville Street, Vancouver V6Z1M4",Diner,101010,YES
B-Bin,CASUAL DINING,Fairview,"3093 Oak Street, Vancouver V6H 2K8",Sushi,1010,YES
El Comal,QUICK BITES,Cariboo & Lougheed,"7650 Winston Street, Burnaby V5A2G1",Mexican,101010,YES
Sushi 7,CASUAL DINING,Riley Park & Little Mountain,"3488 Cambie Street, Vancouver V5Z2W8","Sushi, Japanese, Asian",1010,YES
One More Sushi,CASUAL DINING,"University Village, UBC","University Village, Second Level, 222-2155 Allison Road, Vancouver V6T1T5","Sushi, Japanese, Asian",101010,YES
Sanhao BBQ Delight,CASUAL DINING,"Guildford Towngate, Guildford","Guildford Towngate, 1-15138 100th Avenue, Surrey V3R0J8","Chinese, Asian",10,NO
Boston Pizza,CASUAL DINING,Central Richmond,"50 8100 Ackroyd Road, Central Richmond, Richmond, Richmond V6X3J9","Pizza, Bar Food",10101010,YES
The Captain's Boil,CASUAL DINING,Renfrew-Collingwood,"3309 Kingsway, Vancouver V5R 5K6","Cajun, Seafood",101010,NO
Szechuan Chili Restaurant,CASUAL DINING,"Gold Plaza, Fairview","Gold Plaza, 804 West 6th Avenue, Vancouver V5Z","Chinese, Asian",101010,NO
Sushi Mania,CASUAL DINING,Lower Lonsdale,"180 East 2nd Street, North Vancouver V7M2E7","Sushi, Japanese, Asian",10,YES
Indigo Age Cafe,CASUAL DINING,Downtown,"436 Richards Street, Vancouver",Healthy Food,101010,NO
Sky Dragon,CASUAL DINING,Port Coquitlam,"1538 Prairie Avenue, Metro Vancouver V3B 1T5","Chinese, Asian",10,YES
Royal Seafood Restaurant,CASUAL DINING,"Garden City Shopping Centre, Garden City","Garden City Shopping Centre, 200-8040 Garden City Road, Richmond V6y 2N6","Cantonese, Seafood, Dim Sum",1010,NO
Mazuya Sushi,CASUAL DINING,Kitsilano,"2355 Burrard Street, Vancouver V6J3J2","Sushi, Japanese, Asian",101010,NO
Pier 73 - Pacific Gateway Hotel,CASUAL DINING,"Pacific Gateway Hotel, Central Richmond","Pacific Gateway Hotel, 3500 Cessna Drive, Richmond V7B1C7",Canadian,10101010,YES
Gyu-Kaku Japanese BBQ,FAST CASUAL,Central Richmond,"7971 Alderbridge Way Unit 120, Richmond, BC V6X 2A4, Richmond","Fast Food, Chinese",101010,NO
Freebird Chicken Shack,QUICK BITES,New Westminster,"105-810 Quayside Drive, Metro Vancouver",Asian,101010,NO
Windjammer Fish and Chips Restaurant,CASUAL DINING,Grandview,"937 Commercial Drive, Vancouver V5L3W7",Fish and Chips,10101010,NO
Red Hot Chili Pepper,CASUAL DINING,Whalley,"12790 96 Avenue, Surrey V3V 1X7","Hakka Chinese, Chinese, Asian",10,YES
Marutama Ra-men,CASUAL DINING,Downtown,"270 Robson Street, Metro Vancouver, Vancouver","Japanese, Ramen",1010,YES
The Blarney Stone,BAR,Gastown,"216 Carrall Street, Vancouver V6B 2J2","Bar Food, Irish",10101010,YES
Al & Jan's Fish & Chips,QUICK BITES,Fleetwood,"201-9014 152 Street, Surrey V3R4E7",Fish and Chips,10,YES
Propaganda Coffee,CAF�,Chinatown,"209 East Pender Street, Vancouver V6A2T9",Cafe,101010,YES
Kim Chau Deli,QUICK BITES,Kensington,"1327 Kingsway, Vancouver V5V3E3",Deli,10101010,YES
Gold Train Express II,QUICK BITES,Point Grey,"4530 West 10th Avenue, Vancouver V6R2J1","Vietnamese, Asian",101010,YES
IT Char Burger,FOOD COURT,New Westminster,"Royal Square, 800 McBride Boulevard, Metro Vancouver V3L1Z5","Canadian, Fast Food",10,NO
Bobacabana,QUICK BITES,New Westminster,"360-800 Carnarvan Street, Metro Vancouver V3M 0G3","Beverages, Desserts",10,NO
The Capital,CASUAL DINING,West End,"1178 Davie Street, Vancouver V6E 1N1",Bar Food,10101010,NO
Mon Paris Patisserie,CAF�,Central Burnaby,"4396 Beresford Street, Burnaby, Burnaby V5H 2Y4","Cafe, Bakery, Sandwich, Coffee and Tea",10,YES
Taverna Gorgona,CASUAL DINING,Ladner,"5047 48 Avenue, Metro Vancouver V4K 2X7","Greek, Mediterranean",1010,YES
Lim Kee Restaurant,CASUAL DINING,Victoria-Fraserview & Killarney,"6943 Victoria Drive, Vancouver V5P3Y8","Chinese, Vietnamese, Asian",10101010,YES
Manzano Bakery,BAKERY,"Metropolis at Metrotown, Central Burnaby","Metropolis at Metrotown, Ground Floor, 227-4820 Kingsway, Burnaby V5H 4J2","Bakery, American",10,YES
Yagoto Sushi Dining,CASUAL DINING,Kitsilano,"2180 West Broadway, Vancouver V6K","Sushi, Japanese, Asian",10,NO
Golden Sichuan Restaurant,CASUAL DINING,Central Richmond,"Richview Plaza, 170-3631 Number 3 Road, Richmond V6X2B8","Chinese, Sichuan, Asian",101010,NO
Pekoe Tea Lounge,CAF�,Fairview,"895 West Broadway, Vancouver V5Z","Tea, Cafe",101010,YES
Sushi Inn,CASUAL DINING,Dunbar,"4414 Dunbar Street, Vancouver V6S2G4","Sushi, Japanese, Asian",10101010,NO
Dish,FAST CASUAL,West End,"1068 Davie Street, Vancouver BC, Vancouver V6E 1M3 1N2",Sandwich,101010,NO
Hiraku Sushi,CASUAL DINING,Coquitlam,"3380 David Avenue, Coquitlam V3E 3G8","Sushi, Japanese, Asian",10,NO
Kizami Japanese Cuisine,CASUAL DINING,Central Richmond,"120-8031, Leslie Road, Richmond, Richmond V6X 1E4",Japanese,10,YES
The Dunbar Public House,BAR,Dunbar,"4497 Dunbar Street, Vancouver V6S2G4",Bar Food,101010,NO
Knight & Day,CASUAL DINING,Renfrew-Collingwood,"3684 Lougheed Highway, Vancouver V5M 2A8",Diner,101010,NO
Yah Yah Ya Ramen,CASUAL DINING,Downtown,"570 Robson Street, Vancouver, Vancouver V6B 2B7","Ramen, Japanese",1010,YES
Tandoori Raj Restaurant,CASUAL DINING,Punjabi Market,"689 East 65th Avenue, Vancouver V5X 2P7",Indian,101010,NO
New Spicy Chili,CASUAL DINING,Central Richmond,"160-4200 Number 3 Road, Richmond V6X2C4","Chinese, Sichuan, Asian",10101010,YES
Spicy 6 Fine Indian Cuisine,CASUAL DINING,West End,"1116 Robson Street, Vancouver V6E 1B2",Indian,10101010,YES
Big Rock Urban Brewery & Eatery,CASUAL DINING,Mount Pleasant,"310 West 4th Avenue, Vancouver",Bar Food,10,YES
Kojima Sushi,CASUAL DINING,Grandview,"1836 Commercial Drive, Vancouver V5N4A5","Sushi, Japanese, Asian",1010,NO
The Arms Pub,BAR,Port Coquitlam,"3261 Coast Meridian Road, Metro Vancouver V3B 3N3",Bar Food,10,YES
Tawara Japanese Restaurant,CASUAL DINING,"Panorama Village, Newton","Panorama Village, 103-15161 Highway 10, Surrey V3S 9A5","Sushi, Japanese, Asian",1010,YES
Paliotti's,CASUAL DINING,Maple Ridge,"12018 Edge Street, Metro Vancouver V2X6G4",Italian,10,NO
Simply Delicious,CASUAL DINING,Riley Park & Little Mountain,"4316 Main Street, Vancouver V5V3R1","Sushi, Japanese",10101010,YES
The Burrard Public House,BAR,Port Moody,"2414 St. Johns Street, Metro Vancouver V3H2B1",Bar Food,1010,YES
Dolce Gelato,DESSERT PARLOR,"West Beach, White Rock","West Beach, 15045 Marine Drive, Metro Vancouver V4B1C3","Ice Cream, Desserts",101010,NO
CAVU Kitchen Bar - Hilton Vancouver Hotel,CASUAL DINING,Central Richmond,"Hilton Vancouver Hotel, 5911 Minoru Boulevard, Richmond V6X4C7",Canadian,10,YES
Cabrito,CASUAL DINING,Grandview,"2270 Commercial Drive, Vancouver V5N 4B5","Tapas, Spanish",1010,YES
Domo Sushi,QUICK BITES,Coal Harbour,"1160 Melville Street, Vancouver V6E2S8",Sushi,10101010,NO
Cafe Villaggio,CAF�,Coal Harbour,"1506 Coal Harbour Quay, Vancouver V6G3G1",Cafe,1010,NO
Super Great Pizza,QUICK BITES,Renfrew-Collingwood,"3388 Vanness Drive, Vancouver V5R","Pizza, Fast Food",1010,YES
Fortune Garden,CASUAL DINING,Fairview,"1475 West Broadway, Vancouver V6H1H6","Chinese, Asian",1010,YES
Suga Sushi,CASUAL DINING,"University Village, UBC","University Village, Second Level, 5728 University Boulevard, Vancouver V6T","Sushi, Japanese, Korean, Asian",10101010,YES
The Mexican Gourmet,CASUAL DINING,Maple Ridge,"20757 Lougheed Highway, Metro Vancouver V2X2R2","Latin American, Mexican",1010,YES
Sooda Korean BBQ,FAST CASUAL,North Burnaby,"4455 Lougheed Highway, Burnaby V5C 3Z2",Korean,101010,YES
The Marquis,CASUAL DINING,Fairview,"2666 Granville Street, Vancouver V6H 3H8",Bar Food,101010,NO
Old Surrey Restaurant,CASUAL DINING,Newton,"13483 72 Avenue, Surrey V3W 2N7 5V9","Canadian, Pacific Northwest",10,YES
Epicurean Caffe,CAF�,Kitsilano,"1898 West 1st Avenue, Vancouver V6J1G5","Cafe, Italian",10101010,NO
Imperial City Bistro,CASUAL DINING,"Terra Nova Village, West Richmond","Terra Nova Village, 140-3671 Westminster Hwy, Richmond V7C5W6","Dim Sum, Chinese, Asian",10101010,NO
Pho Rex,CASUAL DINING,City of Langley,"20248 Fraser Highway, Langley V3A4E4","Vietnamese, Asian",101010,YES
Costco Food Court,QUICK BITES,Gastown,"605 Expo Boulevard, Vancouver V6B6G1","Fast Food, Pizza",1010,YES
S+L Kitchen & Bar,CASUAL DINING,Township of Langley,"8399 200 Street, Langley BC, Langley V2Y 3C2 3C2",American,10101010,YES
My Frosty - Korean Dessert Cafe,DESSERT PARLOR,Hastings-Sunrise,"1758 Renfrew St, Vancouver, BC V5M 3H8, Vancouver",Ice Cream,10101010,YES
Sushi Hachi,CASUAL DINING,Arbutus Ridge,"2255 West 41st Avenue, Vancouver V6M2A3","Sushi, Japanese, Asian",10,YES
The Crab Shop,QUICK BITES,Lynnmour & Maplewood,"121-2455 Dollarton Highway, North Vancouver V7H0A2","Fish and Chips, Seafood, Fast Food",101010,NO
Baselines Pub,CASUAL DINING,Guildford,"8233 166th Street, Surrey V4N5R8",Bar Food,10101010,YES
Malone's Social Lounge and Tap House,CASUAL DINING,Downtown,"608 West Pender Street, Vancouver V6B1V5","Canadian, Bar Food",10101010,NO
Reel Mac and Cheese,FOOD TRUCK,Downtown,"Location Varies, Vancouver V6B2R4",American,10101010,NO
Mr. Sushi,CASUAL DINING,"Lynn Valley Mall, Lynn Valley","Lynn Valley Mall, 1250 Lynn Valley Road, North Vancouver V7J2A2","Sushi, Japanese, Asian",1010,YES
Ovaltine Cafe,CASUAL DINING,Chinatown,"251 East Hastings Street, Vancouver V6A1P1",Diner,10101010,YES
Parker Place Meat & BBQ,FOOD COURT,"Parker Place, Richmond","1020-4380 Number 3 Road, Richmond V6X 3V7","Fast Food, Cantonese, Chinese, Asian",10101010,NO
North Garden Cafe Restaurant,CASUAL DINING,"North Road Square, Coquitlam","552 Clarke Rd Suite 411, Coquitlam V3J1P1","Chinese, Asian",10101010,YES
Asian Jazz,CASUAL DINING,North Delta,"8263 120 Street, Metro Vancouver V4C6R1","Chinese, Malaysian, Asian",1010,YES
Naka Bistro,CASUAL DINING,City of Langley,"20055 Fraser Hwy, Langley, Langley V3A4G3","Thai, Asian",10101010,YES
Denny's,CASUAL DINING,Coquitlam,"500 Austin Avenue, Coquitlam V3K 3M7",American,1010,NO
Cambie Bar & Grill,BAR,Gastown,"300 Cambie Street, Vancouver V6B 1H7",Bar Food,101010,YES
Kypriaki Taverna,CASUAL DINING,Lower Capilano,"1356 Marine Drive, North Vancouver V7P1T4","Greek, Mediterranean",1010,NO
The Arbor,FAST CASUAL,Riley Park & Little Mountain,"3941 Main Street, Vancouver V5V 3P2",American,10101010,YES
One20 Public House,PUB,North Delta,"8037 120 Street, Metro Vancouver V4C6P7",Canadian,101010,NO
Gee! Taste Good,FOOD COURT,"Pacific Plaza, Central Richmond","Pacific Plaza Food Court, Level 2, 2200-8888 Odlin Crescent, Richmond V6X","Fast Food, Asian",1010,NO
Old Crow Coffee Co.,CAF�,New Westminster,"655 Front Street, Metro Vancouver V3M1A2",Cafe,101010,YES
Jinya Ramen Bar,QUICK BITES,Central Burnaby,"4575 Central Blvd, Burnaby, BC V5H 4J5, Burnaby, British Columbia, Burnaby",Japanese,1010,YES
Cafe Eggstatic,CAF�,"Crystal Mall, Central Burnaby","Crystal Mall, 1021 - 4500 Kingsway, Burnaby V5H 4V2","Bubble Tea, Cafe",101010,NO
Cozmos Restaurant,CASUAL DINING,North Burnaby,"6691 Hastings Street, Burnaby V5B",Greek,101010,YES
Nuvola Gelato,DESSERT PARLOR,North Burnaby,"4712 Hastings S, Metro Vancouver, Burnaby","Desserts, Ice Cream",10101010,NO
Bon Macaron Patisserie,DESSERT PARLOR,Kitsilano,"2823 West Broadway, Vancouver V6K 2G6",Desserts,10101010,YES
New Concept Hot Pot,CASUAL DINING,"Rishspot Plaza, Central Richmond","Richspot Plaza, 168-8131 Westminster Highway, Richmond V6X","Chinese, Asian",1010,YES
Sushi Plus,QUICK BITES,Whalley,"103-10777 University Drive, Surrey V3T 5T6","Sushi, Japanese, Asian",10,YES
Hakone Sushi,QUICK BITES,Coquitlam,"Inside Kensington Plaza, 13-1161 High Street, Coquitlam V3B 0B7","Sushi, Japanese",10,YES
Il Corsaro Pasta Bar,CASUAL DINING,Maple Ridge,"22370 Dewdney Trunk Road, Metro Vancouver V2X",Italian,101010,NO
Lucky Joy BBQ,CASUAL DINING,East Richmond,"11780 Thorpe Road, Richmond V6X 1J5","Chinese, Asian",1010,NO
Paddlewheeler Neighbourhood Pub,BAR,"River Market, New Westminster","River Market, 105-810 Quayside Drive, Metro Vancouver V3M6Z6",Bar Food,1010,NO
Bean Brothers,CAF�,Arbutus Ridge,"2179 West 41st Avenue, Vancouver V6M1Z6",Canadian,10,NO
Tai Tung Chinese Seafood Restaurant,CASUAL DINING,Marpole,"8012 Granville Street, Vancouver V6P 4Z8","Chinese, Asian",10101010,YES
Athene's,CASUAL DINING,Kitsilano,"3618 West Broadway, Vancouver V6R 3R8","Greek, Pizza",101010,NO
Marble Slab Creamery,DESSERT PARLOR,West End,"103-1184 Denman Street, Vancouver V6G2N1","Ice Cream, Desserts",101010,NO
Katana,CASUAL DINING,City of Langley,"19957 Willowbrook Drive, Langley V2Y","Steak, Japanese, Asian",10,NO
Greek Village,CASUAL DINING,North Delta,"7953-120 Street, Metro Vancouver V4C 1Y2","Greek, Italian",10,NO
Caveman Foods And Deli,CAF�,Downtown,"88 West Pender Street, Vancouver V6B 6N8",Cafe,10101010,NO
Gene Cafe,CAF�,Mount Pleasant,"2404 Main Street, Vancouver V5T 3E2",Cafe,101010,NO
Pearl House Restaurant,CASUAL DINING,East Richmond,"4611 Number 6 Road, Richmond V6V2J4","Chinese, Taiwanese, Asian, Bubble Tea",101010,NO
Mikan Cafe,CASUAL DINING,Mount Pleasant,"670 East Broadway, Vancouver, Vancouver V5T 1X6","Canadian, Italian",1010,NO
Cultivate Tea Brew Bar,BEVERAGE SHOP,Riley Park & Little Mountain,"3623 Main Street, Vancouver V5V3N6","Beverages, Tea",10,YES
Mehfil India Restaurant & Sweets,CASUAL DINING,Whalley,"9570 120 Street, Surrey V3V 4C1",Indian,10101010,YES
The Slocan,CASUAL DINING,Hastings-Sunrise,"2715 East Hastings Street, Vancouver V5K","Canadian, Diner",1010,YES
Hon Sushi,CASUAL DINING,South Burnaby,"4361 Kingsway, Burnaby V5H 1Z9","Japanese, Korean",101010,NO
Sun Star Chinese Restaurant,CASUAL DINING,Coquitlam,"2154 Austin Avenue, Coquitlam V3J 6M4","Diner, Chinese, Asian",10101010,NO
London Pub,BAR,Chinatown,"700 Main Street, Vancouver V6A 1X4","Bar Food, British",10,YES
Red Card Sports Bar & Eatery,BAR,Downtown,"900 Seymour Street, Vancouver V6B3M1",Bar Food,10101010,NO
East Cafe,CAF�,Hastings-Sunrise,"2401 East Hastings Street, Vancouver V5K1Y8",Cafe,10,YES
East One Seafood Restaurant ????,CASUAL DINING,Hastings-Sunrise,"262-2800 East 1st Avenue, Vancouver, BC, Metro Vancouver, Vancouver","Cantonese, Chinese",1010,NO
54th Ave. Cafe Restaurant,CASUAL DINING,"Champlain Square, Marpole","Champlain Square, 7010 Kerr Street, Vancouver V5S3E2","Chinese, Asian",10,NO
La Notte,CASUAL DINING,Dunbar,"3307 Dunbar Street, Vancouver V6S",Italian,101010,YES
Steveston Village Vietnamese Restaurant,CASUAL DINING,West Richmond,"120-12480 Number 1 Road, Richmond V7E 6N2","Vietnamese, Asian",10,NO
The Galley Patio & Grill,CASUAL DINING,Point Grey,"Jericho Sailing Centre, 1300 Discovery Street, Vancouver",Canadian,1010,NO
Thai Chef,CASUAL DINING,"North Road Square, Coquitlam","North Road Square, 206-3355 North Road, Coquitlam V3J 1P1","Thai, Asian",10,NO
Nosh,CAF�,Downtown,"Telus Garden, 101-510 West Georgia Street, Vancouver V6B 0M3",Cafe,10,NO
Salty Tongue Cafe,CAF�,Gastown,"213 Carrall Street, Vancouver V6B 2J2",Cafe,10,YES
Mr. Mikes Steakhouse & Bar,CASUAL DINING,"Pinetree Village, Coquitlam","Pinetree Village, 32-2991 Lougheed Highway, Coquitlam V3B 6J6","Burger, Steak",10101010,YES
Hearthstone Pizza,CASUAL DINING,Port Coquitlam,"2755 Lougheed Highway, Metro Vancouver",Pizza,10,NO
Kokoro Tokyo Mazesoba,CASUAL DINING,Downtown,"551 Seymour St, Vancouver, Vancouver",Japanese,101010,NO
Arbutus Coffee,CAF�,Kitsilano,"2200 Arbutus Street, Vancouver V6K 1V6",Cafe,10,YES
Kings Kitchen,CASUAL DINING,Maple Ridge,"22425 North Avenue, Metro Vancouver V2X2L7","Chinese, Asian, Canadian",10101010,NO
New Chongqing Restaurant,CASUAL DINING,Kerrisdale,"2044 West 41st Avenue, Vancouver V6M1Y7","Chinese, Asian",101010,NO
Casa Verde,CASUAL DINING,Kensington,"3532 Commercial Street, Vancouver V5N4E9","Portuguese, Mediterranean",101010,NO
South Castle,CASUAL DINING,Lower Lonsdale,"141 East 2nd Street, North Vancouver V7M2E7","Korean, Asian",10101010,NO
Thida Thai,CASUAL DINING,West End,"1193 Davie Street, Vancouver V6E4L7","Thai, Asian",10,NO
What's Up? Hot Dog,BAR,Hastings-Sunrise,"2481 East Hastings Street, Vancouver V5K 1Y8","Grill, Bar Food",1010,NO
Sunrise Pizza & Steakhouse,CASUAL DINING,Grandview,"949 Commercial Drive, Vancouver V5L3W7","Steak, Greek, Pizza",10101010,YES
The Meatery,QUICK BITES,Edgemont & Upper Capilano,"3108 Edgemont Boulevard, North Vancouver V7R2N9","BBQ, Canadian",10101010,YES
Bangkok Kitchen,CASUAL DINING,"Walnut Gate Shopping Plaza, Walnut Grove","Walnut Gate Shopping Plaza, 110-20330 88 Avenue, Langley V1M2Y4","Thai, Asian",101010,NO
Tacofino Burrito Bar,QUICK BITES,Gastown,"15 West Cordova, Vancouver",Mexican,101010,YES
Kanpeki Teppanyaki Restaurant,CASUAL DINING,Central Richmond,"140-8351 Alexandra Road, Richmond V6X1C3",Japanese,10,YES
Yanaki Sushi,CASUAL DINING,"Gold Plaza, Fairview","Gold Plaza, 816 West 6th Avenue, Vancouver V5Z","Sushi, Japanese, Asian",1010,YES
Papa's Gourmet Pizza,QUICK BITES,Mount Pleasant,"3030 Main Street, Vancouver V5T","Pizza, Fast Food",1010,YES
Asa Sushi,QUICK BITES,South Burnaby,"7608 Royal Oak Avenue, Burnaby V5J 4K3","Sushi, Japanese, Asian",10,YES
Mediterranean Grill,CASUAL DINING,West End,"1152 Denman Street, Vancouver V6G2N1","Middle Eastern, Kebab",101010,YES
Sushi Farm,CASUAL DINING,"Royal City Centre, New Westminster","780 Princess Street, New Westminster, Metro Vancouver V3L 2M6","Sushi, Japanese, Asian",1010,NO
Ora Sushi,CASUAL DINING,Steveston,"120-3651 Moncton Street, Richmond V7E 3A5","Sushi, Japanese",1010,NO
AAA Restaurant,CASUAL DINING,East Richmond,"8053 Alexandra Road, Metro Vancouver, Richmond V6X 1C3","Asian, Chinese",10,NO
Sambal Coconut,,East Richmond,"9371 Number 5 Road, Richmond V7A 4E1","Malaysian, Asian",10101010,NO
Montana's Cookhouse,CASUAL DINING,"Ricoan Langley Centre, City of Langley","Riocan Centre, 20100 Langley Bypass, Langley V3A9J7","Canadian, BBQ, Steak, Grill",101010,NO
Donair Land,QUICK BITES,Renfrew-Collingwood,"3384 Vanness Avenue, Vancouver V5R 5A7","Mediterranean, Middle Eastern",10,NO
Tap Urban Cafe & Lounge,BAR,South Surrey,"101-15350 34 Ave, Surrey, Surrey V3S0K6",Pacific Northwest,101010,NO
Northern Chinese Countryside Restaurant,CASUAL DINING,Central Richmond,"140-4200 Number 3 Road, Richmond V6X 2C4","Chinese, Northern Chinese, Asian",10,YES
The Bimini Public House,CASUAL DINING,Kitsilano,"2010 West 4th Avenue, Vancouver V6J 1M7",Bar Food,10,YES
Tre Galli Gelato Caffe,CAF�,"River Market, New Westminster","River Market, 121-810 Quayside Drive, Metro Vancouver V3M6B9","Cafe, Desserts, Pizza",10,NO
Sushi Taku,CASUAL DINING,Renfrew-Collingwood,"4902 Joyce Street, Vancouver, Vancouver V5R 4G6",Japanese,101010,NO
Stan's Pizza Joint,CASUAL DINING,North Burnaby,"4527 Hastings Street, Burnaby V5C 2K6","Pizza, Bar Food",10,YES
Yuko Maki,CASUAL DINING,Central Lonsdale,"1540 Lonsdale Avenue, North Vancouver V7M3L7","Sushi, Japanese, Asian",1010,NO
Johnny's Pops,FOOD TRUCK,Mount Pleasant,"Location Varies, Vancouver V5Y",Desserts,101010,NO
The Nosherie,CAF�,Downtown,"575 West Georgia Street, Vancouver V6B 1Z5","Cafe, Deli",101010,YES
Hooked Fish Bar,CASUAL DINING,"Crescent Beach, South Surrey","Crescent Beach, 12157 Beecher Street, Surrey V4A3G2","Seafood, Canadian",1010,YES
Janice Cake Shop,BAKERY,"Union Square, Central Richmond","Union Square, 1106-8328 Capstan Way, Richmond V6X 2H6","Bakery, Chinese, Asian",101010,YES
Donair Star,QUICK BITES,New Westminster,"622 12th Street, Metro Vancouver V3M 4J5","Middle Eastern, Fast Food",1010,YES
Heritage Grill,CASUAL DINING,New Westminster,"447 Columbia Street, Metro Vancouver V3L1A9","Canadian, Burger",10101010,NO
Thai Kitchen Richmond,CASUAL DINING,"Blundell Centre, Richmond","Blundell Centre, 160-8180 Number 2 Road, Richmond V7C5J8","Thai, Chinese, Asian",101010,NO
Rhinofish Noodle Bar,CASUAL DINING,Downtown,"550 Main St, Vancouver, Vancouver V6A 2T9",Seafood,10,NO
Dhaliwal Sweets,QUICK BITES,Punjabi Market,"6555 Fraser Street, Vancouver V5X3T3","Indian, Desserts",1010,YES
Nooru Mahal,CASUAL DINING,Kensington,"4354 Fraser Street, Vancouver V5V2N6","Indian, Singaporean, Sri Lankan, Asian",10,NO
Bob's Bar n' Grill,CASUAL DINING,Aldergrove,"27083 Fraser Highway, Langley",Steak,101010,NO
Thanh Xuan Cafe,CASUAL DINING,Kensington,"2261 Kingsway, Vancouver V5N2T6","Vietnamese, Asian",101010,YES
Tenen Restaurant,CASUAL DINING,South Burnaby,"7569 Royal Oak Avenue, Burnaby V5J 4J8",Eastern European,101010,YES
Napoletana Pizza,QUICK BITES,Kitsilano,"2576 Arbutus Street, Kitsilano, Vancouver, Vancouver V6J3Y2","Pizza, Ice Cream",1010,NO
